path,target,language,extension,loc_total,loc_nonempty,bytes,sha256,encoding,line_endings
analysis_output/runs/20260121-105153_b562249/diagnostics.json,prod,JSON,.json,52,52,1131,e56977cfae4a16ccd136756d8d10cb3ba9bbe1521186839faa0d371e976fac98,utf-8,LF
analysis_output/runs/20260121-105153_b562249/edge_stats.json,prod,JSON,.json,14,14,250,c3e02ce3af66b6b0ff94283d27cd62bc6f328bd8385b6638791212d24e8adcab,utf-8,LF
analysis_output/runs/20260121-105153_b562249/edges.csv,prod,Unknown,.csv,1,1,126,86dea5e3f06712b45ba7991060179d9306980746f70ef0b4efc0340276a1bb8f,utf-8,none
analysis_output/runs/20260121-105153_b562249/entrypoints.csv,prod,Unknown,.csv,1,1,61,a6442265d884c820acd379d471356cf594c322e7c84d7b1985e4a47c3836eccf,utf-8,none
analysis_output/runs/20260121-105153_b562249/files.csv,prod,Unknown,.csv,473,472,63272,0ffb1b0f2fb8670706766417b3b69520bd67a29eb05140a87358762dc1be65f6,utf-8,CRLF
analysis_output/runs/20260121-105153_b562249/issues.csv,prod,Unknown,.csv,1,1,131,83c6bae7f2adc3788cf95ea65ca3cb0b7f37ce17dae60267f3622072db472bee,utf-8,none
analysis_output/runs/20260121-105153_b562249/manifest.json,prod,JSON,.json,107,107,3245,1a1fef9d759ac48b9c0a49aa605af90aca0ab4ddb4c870a06de9b4ccb6cf6c66,utf-8,LF
analysis_output/runs/20260121-105153_b562249/methods.csv,prod,Unknown,.csv,1,1,112,a7203ba1ca73595dc41b40c55206b0fdc0768b297f0b38c53ca20e3d4b455a89,utf-8,none
analysis_output/runs/20260121-105153_b562249/parse_errors.csv,prod,Unknown,.csv,1,1,64,69d9d28db9cb9068a7213efc1b50eb63c4bddccc81e3c112c4d36ecd09ad9cbc,utf-8,none
analysis_output/runs/20260121-105153_b562249/reverse_call_matrix_full.json,prod,JSON,.json,1,1,2,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,utf-8,none
analysis_output/runs/20260121-105153_b562249/reverse_call_matrix_internal.json,prod,JSON,.json,1,1,2,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,utf-8,none
analysis_output/runs/20260121-105153_b562249/tree.json,prod,JSON,.json,4696,4696,170478,07632bf02b6a2cfa4109a47a1a33b4b119e1e074b4ec7065ae79688ba98e6249,utf-8,LF
analysis_output/runs/20260121-105153_b562249/types.csv,prod,Unknown,.csv,1,1,65,52e009b8817474db53001647ccbe19b2ba92c24bde0c16a260d40b854d38c10a,utf-8,none
analysis_output/runs/20260121-105153_b562249/unused_prod.csv,prod,Unknown,.csv,1,1,148,800fcdd58aafdbe03f74dee795d8dde71f83faab068f26d1872c073682ea5e48,utf-8,none
analysis_output/runs/20260121-105153_b562249/unused_with_tests.csv,prod,Unknown,.csv,1,1,148,800fcdd58aafdbe03f74dee795d8dde71f83faab068f26d1872c073682ea5e48,utf-8,none
analysis_output/runs/20260121-110824_b562249/REPORT.md,prod,Markdown,.md,71,63,1806,3ed99a686c2b07c2b4893550774af05f101bce9cf830fc4bebc64488e5c9270a,utf-8,LF
analysis_output/runs/20260121-110824_b562249/REPORT_20260121-110824_b562249.md,prod,Markdown,.md,71,63,1806,3ed99a686c2b07c2b4893550774af05f101bce9cf830fc4bebc64488e5c9270a,utf-8,LF
analysis_output/runs/20260121-110824_b562249/call_matrix_full.json,prod,JSON,.json,82462,82462,2392559,4e402752b1d6846e4cf63fa011c283b66a5d7ea4ffc9112b33dc25ec6e409c7c,utf-8,LF
analysis_output/runs/20260121-110824_b562249/call_matrix_internal.json,prod,JSON,.json,12120,12120,387441,e69470d3eaa78ec823dc4525a82d33fcc9e2d693b16d81580c854b922eb8ad47,utf-8,LF
analysis_output/runs/20260121-110824_b562249/chain_breaks.csv,prod,Unknown,.csv,39,38,6291,36f62f13c3cb98c63828d8e1a73f4803d2630c811df1756bdc8114d9f49b99c4,utf-8,CRLF
analysis_output/runs/20260121-110824_b562249/diagnostics.json,prod,JSON,.json,68,68,1842,122c8b23d8a6ab6aa8e3901aad69ea477fc4a93e4a66f4211c7698b5791d88a5,utf-8,LF
analysis_output/runs/20260121-110824_b562249/edge_stats.json,prod,JSON,.json,14,14,272,9465b70df2761b82047e576e0edf54ded1dad4239fe59c9ead4a8f1c235136eb,utf-8,LF
analysis_output/runs/20260121-110824_b562249/edges.csv,prod,Unknown,.csv,10069,10068,1365442,60447874e8ee6df252c243634cd6f63a40e91582f25b82d1fd33011996c46f4b,utf-8,CRLF
analysis_output/runs/20260121-110824_b562249/entrypoints.csv,prod,Unknown,.csv,223,222,30130,4863e309d14cf83c0df93716a7559eaaeb52354209a9fead64b58967bb15dd17,utf-8,CRLF
analysis_output/runs/20260121-110824_b562249/files.csv,prod,Unknown,.csv,496,495,66794,de2587292e59cd36c36a31c04563e287fb4fda8170e0f6927b76ac98bec075dc,utf-8,CRLF
analysis_output/runs/20260121-110824_b562249/issues.csv,prod,Unknown,.csv,25,24,4613,421017fc6ced4b87b2924df01a47e6a7b93f47ac65c633397ea5fcc660e71196,utf-8,CRLF
analysis_output/runs/20260121-110824_b562249/manifest.json,prod,JSON,.json,107,107,3293,338c28f45d1ea7fb3feee7fe3ea4a31cb6509a1a9ee49e6d3d0cfdd02cf06e8b,utf-8,LF
analysis_output/runs/20260121-110824_b562249/methods.csv,prod,Unknown,.csv,1267,1266,260593,c7e8ec9b4e6fbd9cbafcfbae4cacb47e4850728773aa64400853234d12ab2342,utf-8,CRLF
analysis_output/runs/20260121-110824_b562249/parse_errors.csv,prod,Unknown,.csv,25,24,3442,1e6d4964019b558b68cdbfca653d04c07f4184d9fd3190898ebae91c3bc5b4d6,utf-8,CRLF
analysis_output/runs/20260121-110824_b562249/reverse_call_matrix_full.json,prod,JSON,.json,82332,82332,2645579,57cd944b21def7f3df3f86333b07dda7516b68aca75c05ea54c4d98dadef20e8,utf-8,LF
analysis_output/runs/20260121-110824_b562249/reverse_call_matrix_internal.json,prod,JSON,.json,11762,11762,378133,5be1d855e6991f26351b08c0d88a86dcf9e38198f1f43ee36fd77b71da0c7cf0,utf-8,LF
analysis_output/runs/20260121-110824_b562249/tree.json,prod,JSON,.json,20903,20903,932315,a752a117b7de83848d7c2049fca3a393b295e4385ed8784ed30a007b5f47ec9b,utf-8,LF
analysis_output/runs/20260121-110824_b562249/types.csv,prod,Unknown,.csv,301,300,33767,9dba25404ff860ebd6d7ba23b8038346c7a4517e7803f44c6c6116cb593c214a,utf-8,CRLF
analysis_output/runs/20260121-110824_b562249/unused_prod.csv,prod,Unknown,.csv,868,867,177560,88901ea6047e3660fb1ec768087a117f685e70950812124e4b00a536b79be725,utf-8,CRLF
analysis_output/runs/20260121-110824_b562249/unused_with_tests.csv,prod,Unknown,.csv,868,867,177560,88901ea6047e3660fb1ec768087a117f685e70950812124e4b00a536b79be725,utf-8,CRLF
analysis_output/runs/20260121-154214_b562249/edges.csv,prod,Unknown,.csv,17953,17937,2509271,4734b0a7eb5719be68b21be7608440bbec1d94bdca21b93b1a14de2852527ef7,utf-8,mixed
analysis_output/runs/20260121-154214_b562249/entrypoints.csv,prod,Unknown,.csv,148,147,17053,1dbc977d53d05d2f9bbd2850ee9c991205f2b7bcf11aa4fcf135320fc1c3bb5f,utf-8,CRLF
analysis_output/runs/20260121-154214_b562249/files.csv,prod,Unknown,.csv,475,474,67768,f7f413e75aa96a5f07bf428442795e521ab39610a4f828348831307c2cdd641d,utf-8,CRLF
analysis_output/runs/20260121-154214_b562249/methods.csv,prod,Unknown,.csv,1579,1578,310841,75ab76a0cb05dda99147cf181ba918c4a2a90498f64d092a7838f009066f6c66,utf-8,CRLF
analysis_output/runs/20260121-154214_b562249/raw_tool_outputs/tsc/npx_tsc__noEmit__p_frontend_tsconfig_json.exitcode,prod,Unknown,.exitcode,1,1,1,6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b,utf-8,none
analysis_output/runs/20260121-154214_b562249/raw_tool_outputs/tsc/npx_tsc__noEmit__p_frontend_tsconfig_json.stderr,prod,Unknown,.stderr,1,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,utf-8,none
analysis_output/runs/20260121-154214_b562249/raw_tool_outputs/tsc/npx_tsc__noEmit__p_frontend_tsconfig_json.stdout,prod,Unknown,.stdout,10,6,544,7c15b3332e4499e079231e6358190fe040a1ade2fd0c51233afa399fbc42411f,utf-8,LF
analysis_output/runs/20260121-154214_b562249/types.csv,prod,Unknown,.csv,608,607,79178,52895b23f4fd31bd155963d1a29f4cdef7992639b9b5e506eba7f53232e08896,utf-8,CRLF
analysis_output/runs/20260121-154214_b562249/unused_prod.csv,prod,Unknown,.csv,1383,1382,326275,c4caf9398ad81aa29a5cd782f7fe1d34adb772fac45da42b1269ec764fe07e0c,utf-8,CRLF
analysis_output/runs/20260121-154214_b562249/unused_with_tests.csv,prod,Unknown,.csv,2,1,150,344508874943f587f47f16b0289db033954fe2750a77025861e81b4b0545eba6,utf-8,CRLF
analysis_output/runs/20260121-154231_b562249/REPORT_20260121-154231_b562249.md,prod,Markdown,.md,85,74,2468,6996065b82b984d6947e53774b3393895d4fa17544b742ec0349d73f2dd0a46f,utf-8,LF
analysis_output/runs/20260121-154231_b562249/call_matrix_full.json,prod,JSON,.json,135066,135066,4011196,10fff6e22cc1a5deb08494a00bc3a166d6b637cd8d698e62791c5e8a4c6aa228,utf-8,LF
analysis_output/runs/20260121-154231_b562249/call_matrix_internal.json,prod,JSON,.json,9742,9742,309466,0d308a92003d9d094eee205c085cec8552447fc802181b0331ee4b882aebe27d,utf-8,LF
analysis_output/runs/20260121-154231_b562249/chain_breaks.csv,prod,Unknown,.csv,4,3,342,45d7f3d5a1266311f11f37072e73263f5ab24f5f728473365557494a04f86661,utf-8,CRLF
analysis_output/runs/20260121-154231_b562249/ci_summary.json,prod,JSON,.json,175,175,3728,e66e1397aaf8c8c1f2a2957f92639068db688a6e0a05c2a0fb2d9713929568db,utf-8,LF
analysis_output/runs/20260121-154231_b562249/dependency_inventory.csv,prod,Unknown,.csv,119,118,6750,2bbcb2d390d166cc86d048f860840b20d23a9be5911c2047f685e2134fb90dc6,utf-8,CRLF
analysis_output/runs/20260121-154231_b562249/diagnostics.json,prod,JSON,.json,34,34,778,61a052a7a99d9a770d7ec06ad1dbe31482106cca949b7558d42f79a86cda14e9,utf-8,LF
analysis_output/runs/20260121-154231_b562249/edge_stats.json,prod,JSON,.json,14,14,270,e2e2a97073d78d115dd23e652f30ba56942df6dcf8d3f162d5a8e19d6c394415,utf-8,LF
analysis_output/runs/20260121-154231_b562249/edges.csv,prod,Unknown,.csv,17953,17937,2509271,4734b0a7eb5719be68b21be7608440bbec1d94bdca21b93b1a14de2852527ef7,utf-8,mixed
analysis_output/runs/20260121-154231_b562249/entrypoints.csv,prod,Unknown,.csv,148,147,17053,1dbc977d53d05d2f9bbd2850ee9c991205f2b7bcf11aa4fcf135320fc1c3bb5f,utf-8,CRLF
analysis_output/runs/20260121-154231_b562249/files.csv,prod,Unknown,.csv,475,474,67768,f7f413e75aa96a5f07bf428442795e521ab39610a4f828348831307c2cdd641d,utf-8,CRLF
analysis_output/runs/20260121-154231_b562249/issues.csv,prod,Unknown,.csv,2,1,133,17ce28a641c8ddd0a9d73cc83d3706125769b18ddf1b20ff4bcfa3d9a2f9239b,utf-8,CRLF
analysis_output/runs/20260121-154231_b562249/manifest.json,prod,JSON,.json,86,86,3823,3c1e6f750a4de8f599ad680e5f27dc9d409ff52111134d1ab678ea774dbfdfea,utf-8,LF
analysis_output/runs/20260121-154231_b562249/methods.csv,prod,Unknown,.csv,1579,1578,310841,75ab76a0cb05dda99147cf181ba918c4a2a90498f64d092a7838f009066f6c66,utf-8,CRLF
analysis_output/runs/20260121-154231_b562249/parse_errors.csv,prod,Unknown,.csv,2,1,81,8ca3346c2a69730e31ae152ca3ecab69f832879bf133105048bfdc74f37d9299,utf-8,CRLF
analysis_output/runs/20260121-154231_b562249/raw_tool_outputs/tsc/npx_tsc__noEmit__p_frontend_tsconfig_json.exitcode,prod,Unknown,.exitcode,1,1,1,6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b,utf-8,none
analysis_output/runs/20260121-154231_b562249/raw_tool_outputs/tsc/npx_tsc__noEmit__p_frontend_tsconfig_json.stderr,prod,Unknown,.stderr,1,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,utf-8,none
analysis_output/runs/20260121-154231_b562249/raw_tool_outputs/tsc/npx_tsc__noEmit__p_frontend_tsconfig_json.stdout,prod,Unknown,.stdout,10,6,544,7c15b3332e4499e079231e6358190fe040a1ade2fd0c51233afa399fbc42411f,utf-8,LF
analysis_output/runs/20260121-154231_b562249/reverse_call_matrix_full.json,prod,JSON,.json,139130,139130,4481683,c004e05d11e19142f254decb7f9932aad6ea8abd0b1dde3762aeac498b3857b7,utf-8,LF
analysis_output/runs/20260121-154231_b562249/reverse_call_matrix_internal.json,prod,JSON,.json,9580,9580,305254,4ab882811a679bf389f349d59f773c5ea9105cd83165135815e54761fdd1de34,utf-8,LF
analysis_output/runs/20260121-154231_b562249/tree.json,prod,JSON,.json,27074,27074,1202515,ff79ac1931355f7c8ec47d5d56e4ae471b3c97333c9c4d902a33841ab06f80e4,utf-8,LF
analysis_output/runs/20260121-154231_b562249/types.csv,prod,Unknown,.csv,608,607,79178,52895b23f4fd31bd155963d1a29f4cdef7992639b9b5e506eba7f53232e08896,utf-8,CRLF
analysis_output/runs/20260121-154231_b562249/unused_prod.csv,prod,Unknown,.csv,1383,1382,326275,c4caf9398ad81aa29a5cd782f7fe1d34adb772fac45da42b1269ec764fe07e0c,utf-8,CRLF
analysis_output/runs/20260121-154231_b562249/unused_with_tests.csv,prod,Unknown,.csv,1386,1385,325156,ba4e71a1839d82a264bd1189dda929da3d9eba1d2664f387894c63a130c355fd,utf-8,CRLF
analysis_output/runs/20260121-154559_b562249/REPORT_20260121-154559_b562249.md,prod,Markdown,.md,85,74,2438,e0f52f8ebd078efb806e6b5a862dfc35aec1e8392d5b8a42ee55b6b8e2e877e9,utf-8,LF
analysis_output/runs/20260121-154559_b562249/call_matrix_full.json,prod,JSON,.json,133322,133322,3960690,ac9b3218a5f8d7670bf992bfff9c5f252e075f1f735ca850ca575a635f3acb23,utf-8,LF
analysis_output/runs/20260121-154559_b562249/call_matrix_internal.json,prod,JSON,.json,9582,9582,304338,198c29ebf9bfbc4e03a828cd10de4c8963d47330d93e983bce237c113e5b19c9,utf-8,LF
analysis_output/runs/20260121-154559_b562249/chain_breaks.csv,prod,Unknown,.csv,4,3,342,45d7f3d5a1266311f11f37072e73263f5ab24f5f728473365557494a04f86661,utf-8,CRLF
analysis_output/runs/20260121-154559_b562249/ci_summary.json,prod,JSON,.json,173,173,3629,ae342f92bff6746fd8c194ac3f411454791b55e613326bc21aa2f9209e56b831,utf-8,LF
analysis_output/runs/20260121-154559_b562249/dependency_inventory.csv,prod,Unknown,.csv,119,118,6750,2bbcb2d390d166cc86d048f860840b20d23a9be5911c2047f685e2134fb90dc6,utf-8,CRLF
analysis_output/runs/20260121-154559_b562249/diagnostics.json,prod,JSON,.json,34,34,778,61a052a7a99d9a770d7ec06ad1dbe31482106cca949b7558d42f79a86cda14e9,utf-8,LF
analysis_output/runs/20260121-154559_b562249/edge_stats.json,prod,JSON,.json,14,14,270,3b276ee6f6168379696f9633594c316e0cd657527b816705e8df9f6b496a0b61,utf-8,LF
analysis_output/runs/20260121-154559_b562249/edges.csv,prod,Unknown,.csv,17735,17719,2477613,fd09d39697ddf3e59a7707b153c6e7a038e3dbc43043310e7ded8664733346dc,utf-8,mixed
analysis_output/runs/20260121-154559_b562249/entrypoints.csv,prod,Unknown,.csv,148,147,17053,1dbc977d53d05d2f9bbd2850ee9c991205f2b7bcf11aa4fcf135320fc1c3bb5f,utf-8,CRLF
analysis_output/runs/20260121-154559_b562249/files.csv,prod,Unknown,.csv,475,474,67768,f7f413e75aa96a5f07bf428442795e521ab39610a4f828348831307c2cdd641d,utf-8,CRLF
analysis_output/runs/20260121-154559_b562249/issues.csv,prod,Unknown,.csv,2,1,133,17ce28a641c8ddd0a9d73cc83d3706125769b18ddf1b20ff4bcfa3d9a2f9239b,utf-8,CRLF
analysis_output/runs/20260121-154559_b562249/manifest.json,prod,JSON,.json,98,98,4330,e26c409d0b137b40c84c6116289dc1aa1dbe423d108f7dff3a9c6cef5944bf7a,utf-8,LF
analysis_output/runs/20260121-154559_b562249/methods.csv,prod,Unknown,.csv,1579,1578,310841,75ab76a0cb05dda99147cf181ba918c4a2a90498f64d092a7838f009066f6c66,utf-8,CRLF
analysis_output/runs/20260121-154559_b562249/parse_errors.csv,prod,Unknown,.csv,2,1,81,8ca3346c2a69730e31ae152ca3ecab69f832879bf133105048bfdc74f37d9299,utf-8,CRLF
analysis_output/runs/20260121-154559_b562249/raw_tool_outputs/tsc/npx_tsc__noEmit__p_tsconfig_json.exitcode,prod,Unknown,.exitcode,1,1,1,d4735e3a265e16eee03f59718b9b5d03019c07d8b6c51f90da3a666eec13ab35,utf-8,none
